Surfshark UI Element Map (PID 16716)
================================================================================
077. Type: ComboBox     | Class: ComboBox             | Name: 'SortingItemUiModel { DisplayTextTranslation = A - Z, Type = ByNameAsc }' | Text: 'SortingItemUiModel { DisplayTextTranslation = A - Z, Type = ByNameAsc }' | Rect: (L0, T0, R0, B0)
078. Type: Text         | Class: TextBlock            | Name: 'Ubicaciones'                       | Text: 'Ubicaciones'                       | Rect: (L1056, T631, R1378, B659)
079. Type: ListItem     | Class: ListBoxItem          | Name: 'Albania'                           | Text: 'Albania'                           | Rect: (L1056, T667, R1378, B735)
080. Type: Custom       | Class: LocationItem         | Name: ''                                  | Text: ''                                  | Rect: (L1056, T670, R1378, B728)
081. Type: Button       | Class: Button               | Name: ''                                  | Text: ''                                  | Rect: (L1346, T683, R1378, B715)
082. Type: Custom       | Class: StarIcon             | Name: ''                                  | Text: ''                                  | Rect: (L1346, T683, R1378, B715)
083. Type: Custom       | Class: ConnectionQualityIcon | Name: ''                                  | Text: ''                                  | Rect: (L1306, T683, R1338, B715)
084. Type: Button       | Class: Button               | Name: ''                                  | Text: ''                                  | Rect: (L1056, T670, R1298, B728)
085. Type: Image        | Class: Image                | Name: ''                                  | Text: ''                                  | Rect: (L1064, T691, R1088, B707)
086. Type: ListItem     | Class: ListBoxItem          | Name: 'Germany Fastest'                   | Text: 'Germany Fastest'                   | Rect: (L1056, T735, R1378, B803)
087. Type: Custom       | Class: LocationItem         | Name: ''                                  | Text: ''                                  | Rect: (L1056, T738, R1378, B796)
088. Type: Button       | Class: Button               | Name: ''                                  | Text: ''                                  | Rect: (L1346, T751, R1378, B783)
089. Type: Custom       | Class: StarIcon             | Name: ''                                  | Text: ''                                  | Rect: (L1346, T751, R1378, B783)
090. Type: Button       | Class: Button               | Name: ''                                  | Text: ''                                  | Rect: (L1306, T751, R1338, B783)
091. Type: Custom       | Class: ChevronDownIcon      | Name: ''                                  | Text: ''                                  | Rect: (L1306, T751, R1338, B783)
092. Type: Button       | Class: Button               | Name: ''                                  | Text: ''                                  | Rect: (L1056, T738, R1298, B796)
093. Type: Image        | Class: Image                | Name: ''                                  | Text: ''                                  | Rect: (L1064, T759, R1088, B775)
094. Type: ListItem     | Class: ListBoxItem          | Name: 'Andorra'                           | Text: 'Andorra'                           | Rect: (L1056, T803, R1378, B871)
095. Type: Custom       | Class: LocationItem         | Name: ''                                  | Text: ''                                  | Rect: (L1056, T806, R1378, B864)
096. Type: Button       | Class: Button               | Name: ''                                  | Text: ''                                  | Rect: (L1346, T819, R1378, B851)
097. Type: Custom       | Class: StarIcon             | Name: ''                                  | Text: ''                                  | Rect: (L1346, T819, R1378, B851)
098. Type: Custom       | Class: ConnectionQualityIcon | Name: ''                                  | Text: ''                                  | Rect: (L1306, T819, R1338, B851)
099. Type: Button       | Class: Button               | Name: ''                                  | Text: ''                                  | Rect: (L1056, T806, R1298, B864)
100. Type: Image        | Class: Image                | Name: ''                                  | Text: ''                                  | Rect: (L1064, T827, R1088, B843)
101. Type: ListItem     | Class: ListBoxItem          | Name: 'Saudi Arabia'                      | Text: 'Saudi Arabia'                      | Rect: (L1056, T871, R1378, B939)
102. Type: Custom       | Class: LocationItem         | Name: ''                                  | Text: ''                                  | Rect: (L1056, T874, R1378, B932)
103. Type: Button       | Class: Button               | Name: ''                                  | Text: ''                                  | Rect: (L1346, T887, R1378, B919)
104. Type: Custom       | Class: StarIcon             | Name: ''                                  | Text: ''                                  | Rect: (L1346, T887, R1378, B919)
105. Type: Custom       | Class: ConnectionQualityIcon | Name: ''                                  | Text: ''                                  | Rect: (L1306, T887, R1338, B919)
106. Type: Button       | Class: Button               | Name: ''                                  | Text: ''                                  | Rect: (L1056, T874, R1298, B932)
107. Type: Image        | Class: Image                | Name: ''                                  | Text: ''                                  | Rect: (L1064, T895, R1088, B911)
108. Type: ListItem     | Class: ListBoxItem          | Name: 'Algeria'                           | Text: 'Algeria'                           | Rect: (L1056, T939, R1378, B1007)
109. Type: Custom       | Class: LocationItem         | Name: ''                                  | Text: ''                                  | Rect: (L1056, T942, R1378, B1000)
110. Type: Button       | Class: Button               | Name: ''                                  | Text: ''                                  | Rect: (L1346, T955, R1378, B987)
111. Type: Custom       | Class: StarIcon             | Name: ''                                  | Text: ''                                  | Rect: (L1346, T955, R1378, B987)
112. Type: Custom       | Class: ConnectionQualityIcon | Name: ''                                  | Text: ''                                  | Rect: (L1306, T955, R1338, B987)
113. Type: Button       | Class: Button               | Name: ''                                  | Text: ''                                  | Rect: (L1056, T942, R1298, B1000)
114. Type: Image        | Class: Image                | Name: ''                                  | Text: ''                                  | Rect: (L1064, T963, R1088, B979)
115. Type: Button       | Class: Button               | Name: ''                                  | Text: ''                                  | Rect: (L0, T0, R0, B0)
116. Type: Custom       | Class: VpnDashboardView     | Name: ''                                  | Text: ''                                  | Rect: (L1407, T83, R1767, B917)
117. Type: Custom       | Class: ActionScreenLayout   | Name: ''                                  | Text: ''                                  | Rect: (L1407, T83, R1767, B917)
118. Type: Custom       | Class: RippleAnimation      | Name: ''                                  | Text: ''                                  | Rect: (L1535, T-35, R1885, B315)
119. Type: Custom       | Class: StatusCopy           | Name: ''                                  | Text: ''                                  | Rect: (L1431, T115, R1637, B220)
120. Type: Custom       | Class: StatusIcon           | Name: ''                                  | Text: ''                                  | Rect: (L1687, T115, R1735, B163)
121. Type: Custom       | Class: ShieldIcon           | Name: ''                                  | Text: ''                                  | Rect: (L1687, T115, R1735, B163)
122. Type: Image        | Class: Image                | Name: ''                                  | Text: ''                                  | Rect: (L1704, T129, R1718, B149)
123. Type: Pane         | Class: ScrollViewer         | Name: ''                                  | Text: ''                                  | Rect: (L1423, T236, R1751, B739)
124. Type: Custom       | Class: ConnectionMetricsView | Name: ''                                  | Text: ''                                  | Rect: (L1423, T236, R1751, B408)
125. Type: List         | Class: ItemsControl         | Name: ''                                  | Text: ''                                  | Rect: (L1423, T236, R1751, B408)
126. Type: DataItem     | Class: ItemsControlItem     | Name: 'Surfshark.Controls.CustomComponents.ValueComponent.ValueComponent' | Text: 'Surfshark.Controls.CustomComponents.ValueComponent.ValueComponent' | Rect: (L1423, T236, R1583, B302)
127. Type: Text         | Class: TextBlock            | Name: 'Perú'                              | Text: 'Perú'                              | Rect: (L1431, T244, R1575, B268)
128. Type: Text         | Class: TextBlock            | Name: 'Tu ubicación'                      | Text: 'Tu ubicación'                      | Rect: (L1431, T272, R1575, B294)
129. Type: DataItem     | Class: ItemsControlItem     | Name: 'System.Windows.Controls.ContentControl' | Text: 'System.Windows.Controls.ContentControl' | Rect: (L1423, T236, R1583, B302)
130. Type: Text         | Class: TextBlock            | Name: '00:10:38'                          | Text: '00:10:38'                          | Rect: (L1431, T244, R1575, B268)
131. Type: Text         | Class: TextBlock            | Name: 'Tiempo de conexión'                | Text: 'Tiempo de conexión'                | Rect: (L1431, T272, R1575, B294)
132. Type: DataItem     | Class: ItemsControlItem     | Name: 'Surfshark.Controls.CustomComponents.ValueComponent.ValueComponent' | Text: 'Surfshark.Controls.CustomComponents.ValueComponent.ValueComponent' | Rect: (L1591, T236, R1751, B302)
133. Type: Text         | Class: TextBlock            | Name: '38.250.148.37'                     | Text: '38.250.148.37'                     | Rect: (L1599, T244, R1743, B268)
134. Type: Text         | Class: TextBlock            | Name: 'Dirección IP'                      | Text: 'Dirección IP'                      | Rect: (L1599, T272, R1743, B294)
135. Type: Text         | Class: TextBlock            | Name: '8,43 MB'                           | Text: '8,43 MB'                           | Rect: (L1431, T318, R1575, B342)
136. Type: Text         | Class: TextBlock            | Name: 'Cargado'                           | Text: 'Cargado'                           | Rect: (L1431, T346, R1575, B368)
137. Type: Text         | Class: TextBlock            | Name: '11,24 MB'                          | Text: '11,24 MB'                          | Rect: (L1599, T318, R1743, B342)
